time,acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,mag_x,mag_y,mag_z
18:27.6,0.009128432,0.107565012,9.985957529,0.014165478,-0.121078934,0.217761228,-0.067137809,6.167259786,6.25
18:27.6,0.038412769,0.060283688,9.897848106,0.061401115,-0.015134867,0.202206855,-0.074204947,6.160142349,6.25
18:27.6,-0.029097809,0.088652482,9.937479254,0.122343597,-0.075674334,0.108880614,-0.070671378,6.167259786,6.254098361
18:27.6,-0.038796214,0.098108747,9.976721406,0.108789628,0.105944068,0.04666312,-0.088339223,6.167259786,6.254098361
18:27.6,-0.028908684,0.069739953,9.927856555,-0.092942498,-0.060539467,0.124434987,-0.074204947,6.167259786,6.254098361
18:27.6,-0.086720859,0.088652482,9.898815754,-0.030471241,0.030269734,-0.139989361,-0.074204947,6.170818505,6.25
18:27.6,-0.038985339,0.117021277,9.937294441,-0.017375905,-0.196753268,0.108880614,-0.070671378,6.160142349,6.245901639
18:27.6,-0.000380847,0.098108747,9.917477657,0.123107984,0,0.171098108,-0.081272085,6.163701068,6.25
18:27.6,-0.01036294,0.135933806,9.92700916,0.091260846,-0.105944068,0,-0.067137809,6.167259786,6.245901639
18:27.6,-0.039079901,0.126477541,9.897961094,0.061553992,0,-0.031108747,-0.067137809,6.167259786,6.254098361
18:27.7,-0.010079252,0.107565012,9.946909876,0.045095352,-0.105944068,0.093326241,-0.070671378,6.160142349,6.245901639
18:27.7,-0.04858918,0.117021277,9.966820277,0.046318372,0.015134867,0.04666312,-0.070671378,6.160142349,6.254098361
18:27.7,-0.009984689,0.098108747,9.947003493,0.061248237,-0.030269734,0.139989361,-0.074204947,6.167259786,6.25
18:27.7,-0.02947606,0.126477541,9.937104786,0.062165502,0.060539467,-0.031108747,-0.074204947,6.167259786,6.25
18:27.7,-0.029097809,0.088652482,9.927669321,-0.07633098,0.060539467,0.124434987,-0.067137809,6.160142349,6.25
18:27.7,-0.067607738,0.098108747,9.937769791,0.152814838,-0.105944068,0.015554373,-0.070671378,6.167259786,6.245901639
18:27.7,-0.057814771,0.079196217,9.967290784,0.138802237,0.030269734,0.186652481,-0.077738516,6.15658363,6.258196721
18:27.7,-0.057814771,0.079196217,9.947670919,0.090802214,-0.151348668,0.031108747,-0.070671378,6.163701068,6.245901639
18:27.7,-0.067418613,0.079196217,9.898717294,0.292228585,-0.015134867,0.186652481,-0.067137809,6.167259786,6.245901639
18:27.7,-0.019872218,0.126477541,10.00567828,0.015388498,0,0.233315601,-0.070671378,6.163701068,6.25
18:27.8,-0.038985339,0.117021277,9.927484509,-0.123566616,-0.0454046,0.202206855,-0.067137809,6.167259786,6.245901639
18:27.8,-0.04821093,0.079196217,9.937764948,0.154190735,0.030269734,0.015554373,-0.074204947,6.170818505,6.241803279
18:27.8,-0.029097809,0.088652482,9.927669321,0.184509099,-0.015134867,0.202206855,-0.084805654,6.160142349,6.254098361
18:27.8,-0.01958853,0.098108747,9.966719396,0.045706862,-0.0454046,0.077771867,-0.070671378,6.170818505,6.254098361
18:27.8,-0.000759098,0.135933806,9.936723054,0.090496459,-0.181618402,0.031108747,-0.067137809,6.170818505,6.254098361
18:27.8,-0.010173814,0.117021277,9.887956663,0.107566609,-0.015134867,-0.062217494,-0.070671378,6.167259786,6.254098361
18:27.8,-0.029570623,0.135933806,9.966440967,0.169884988,0.060539467,0.124434987,-0.098939929,6.170818505,6.258196721
18:27.8,-0.02947606,0.126477541,9.878245191,0.029859731,-0.090809201,0.015554373,-0.074204947,6.170818505,6.25
18:27.8,-0.067891426,0.126477541,9.966918737,0.107107976,-0.060539467,0.124434987,-0.077738516,6.170818505,6.245901639
18:27.8,-0.01958853,0.098108747,9.966719396,0.322546949,-0.060539467,0.077771867,-0.070671378,6.170818505,6.245901639
18:27.9,-0.056585457,-0.043735225,9.899838277,0.030471241,-0.030269734,0.264424348,-0.067137809,6.167259786,6.25
